case_id,dimension,value_label,scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_buying,307,thetashield,240,500000,1119,4002874000000000000,-1542416528252347810730,-1538413654252347810730,12952515009525148800,793727000000000000,3209147000000000000,246575342465753424,245508982035928143,45,745856353591160220,600000000000000000,6096,754491017964071856,1274,,478907780020370310,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_buying,401,thetashield,240,500000,1233,4437191000000000000,-1800132614311520963865,-1795695423311520963865,13813327948133278100,606790000000000000,3830401000000000000,190476190476190476,197740112994350282,43,806080830552465702,641666666666666666,3852,802259887005649717,1415,,447620920969966608,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_buying,503,thetashield,240,500000,1156,4015346000000000000,-1009561284284457480533,-1005545938284457480533,12489863754898636300,666684000000000000,3348662000000000000,126760563380281690,260355029585798816,58,754335260115606936,558333333333333333,2061,739644970414201183,1366,,427317547999473201,199973,3,30,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_selling,101,thetashield,240,500000,1227,4563132000000000000,-928020946798084034472,-923457814798084034472,14011493050114929100,666111000000000000,3897021000000000000,126984126984126984,209039548022598870,41,801484230055658627,616666666666666666,3746,790960451977401129,,1430,495636325790360860,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_selling,211,thetashield,240,500000,1095,3755975000000000000,-665457841053154746697,-661701866053154746697,12426331494263313700,746053000000000000,3009922000000000000,246575342465753424,257485029940119760,50,746144226761150479,591666666666666666,4818,742514970059880239,,1247,441302798046024006,199973,3,30,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_selling,307,thetashield,240,500000,1151,4238493000000000000,-918501767733925328493,-914263274733925328493,13814969678149695400,700094000000000000,3538399000000000000,184615384615384615,217142857142857142,47,803652968036529680,620833333333333333,5494,782857142857142857,,1317,373366206085610124,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_selling,401,thetashield,240,500000,1061,3797762000000000000,-821623823931582272459,-817826061931582272459,12778864447788643200,876969000000000000,2920793000000000000,267605633802816901,284023668639053254,51,706720977596741344,583333333333333333,4714,715976331360946745,,1187,308055703009117555,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_selling,503,thetashield,240,500000,1161,4057015000000000000,-846231353392763983788,-842174338392763983788,12766465067664649400,679190000000000000,3377825000000000000,142857142857142857,223529411764705882,42,780259951259138911,591666666666666666,1527,776470588235294117,,1368,447685619121794925,199973,3,30,0,0,0
dead_band_k__0p5,dead_band_k,0.5,alternating_toxicity,101,thetashield,240,500000,794,2897741000000000000,-11993082621384828386,-9095341621384828386,12625460016254598900,826236000000000000,2071505000000000000,291139240506329113,459627329192546583,75,536803578690524603,458333333333333333,15680,229813664596273291,842,839,299065585462848051,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,alternating_toxicity,211,thetashield,240,500000,815,3126546000000000000,3155676648225554633,6282222648225554633,13502536935025368000,901758000000000000,2224788000000000000,307692307692307692,530864197530864197,81,468485780169100691,416666666666666666,10510,197530864197530864,832,865,377118161759729919,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,alternating_toxicity,307,thetashield,240,500000,762,2893716000000000000,2810030905830380217,5703746905830380217,12421379654213795300,969900000000000000,1923816000000000000,321428571428571428,596153846153846153,87,409863240779113137,375000000000000000,7765,224358974358974358,740,830,347742763859821968,199973,3,30,0,0,0
dead_band_k__0p5,dead_band_k,0.5,alternating_toxicity,401,thetashield,240,500000,758,2754849000000000000,7119104226296832874,9873953226296832874,12309563123095630000,802010000000000000,1952839000000000000,253164556962025316,515527950310559006,80,503737541528239202,408333333333333333,8105,273291925465838509,822,763,227049257268908549,199973,3,30,0,0,0
