mode,scenario,seed,policy,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,false_positive_rate_wad,false_negative_rate_wad,requested_notional_quote_wad,executed_notional_quote_wad,volume_lost_quote_wad,volume_retained_rate_wad,benign_volume_retained_rate_wad,toxic_volume_retained_rate_wad,retained_event_count,coverage_eligible_epochs,coverage_deficit_epochs,latest_coverage_ratio_wad
inelastic,neutral_inside_attack,101,coverage_thetashield,450000,750,2771845000000000000,-810441243993392503193,10697046396970462900,173076923076923076,389705882352941176,3698000000000000000000,3698000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,17,4411323529411765147
inelastic,neutral_inside_attack,211,thetashield,500000,793,2791302000000000000,-901675042180943401363,10667647436676473300,207920792079207920,381294964028776978,3528000000000000000000,3528000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,neutral_inside_attack,211,coverage_thetashield,450000,784,2758233000000000000,-901708111180943401363,10667647436676473300,207920792079207920,381294964028776978,3528000000000000000000,3528000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,18,5751637168141593495
inelastic,neutral_inside_attack,307,thetashield,500000,792,2694494000000000000,-953800970293487159641,10141396481413963800,225490196078431372,442028985507246376,3418000000000000000000,3418000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,neutral_inside_attack,307,coverage_thetashield,450000,781,2656120000000000000,-953839344293487159641,10141396481413963800,225490196078431372,442028985507246376,3418000000000000000000,3418000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,22,18,2634871621621621885
inelastic,neutral_inside_attack,401,thetashield,500000,720,2541250000000000000,-774846688336097426006,9721940627219405300,219047619047619047,474074074074074074,3549000000000000000000,3549000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,neutral_inside_attack,401,coverage_thetashield,450000,714,2522337000000000000,-774865601336097426006,9721940627219405300,219047619047619047,474074074074074074,3549000000000000000000,3549000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,18,3703333333333333703
inelastic,neutral_inside_attack,503,thetashield,500000,746,2684959000000000000,-932524505150904695539,10830029338300292300,223300970873786407,423357664233576642,3646000000000000000000,3646000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,neutral_inside_attack,503,coverage_thetashield,450000,740,2664264000000000000,-932545200150904695539,10830029338300292300,223300970873786407,423357664233576642,3646000000000000000000,3646000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,18,6712466051282051953
inelastic,microtrade_spam,101,thetashield,500000,500,413805000000000000,-128506040423495859262,4253198705131986626,0,1000000000000000000,827610000000000000000,827610000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,microtrade_spam,101,coverage_thetashield,450000,500,413805000000000000,-128506040423495859262,4253198705131986626,0,1000000000000000000,827610000000000000000,827610000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,16,16,92976151980598230
inelastic,microtrade_spam,211,thetashield,500000,500,424655000000000000,-143827736673995252421,4228086216980861747,0,1000000000000000000,849310000000000000000,849310000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,microtrade_spam,211,coverage_thetashield,450000,500,424655000000000000,-143827736673995252421,4228086216980861747,0,1000000000000000000,849310000000000000000,849310000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,13,13,98490433314575136
inelastic,microtrade_spam,307,thetashield,500000,500,410230000000000000,-130651161051462302972,4101328881313288403,0,1000000000000000000,820460000000000000000,820460000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,microtrade_spam,307,coverage_thetashield,450000,500,410230000000000000,-130651161051462302972,4101328881313288403,0,1000000000000000000,820460000000000000000,820460000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,14,14,94013465447154480
inelastic,microtrade_spam,401,thetashield,500000,500,393790000000000000,-123103054655066476748,4098834125988340850,0,1000000000000000000,787580000000000000000,787580000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,microtrade_spam,401,coverage_thetashield,450000,500,393790000000000000,-123103054655066476748,4098834125988340850,0,1000000000000000000,787580000000000000000,787580000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,15,15,94235080937424508
inelastic,microtrade_spam,503,thetashield,500000,500,378215000000000000,-124916468825491531569,3950227004702269652,0,1000000000000000000,756430000000000000000,756430000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,microtrade_spam,503,coverage_thetashield,450000,500,378215000000000000,-124916468825491531569,3950227004702269652,0,1000000000000000000,756430000000000000000,756430000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,13,13,87705770208439256
inelastic,oversized_observation,101,thetashield,500000,500,2937000000000000000,-792072811755054463576,28178928712649406300,0,1000000000000000000,5874000000000000000000,5874000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
